Clase,m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03
cavallo,2605080.0,340328355.0,296353860.0,51188828775.0,36224691060.0,38646144540.0,8420672075415.0,5145829990770.0,4484693056470.0,5690825497680.0,6728240533.177862,-2491057274.6769733,4932934067.8073635,-24608667124.155735,-26545578251.728516,2715566056.1816406,172099695483.00406,0.0009914238897374393,-0.0003670638230961864,0.0007268807732433993,-2.2466500514714786e-06,-2.4234804934658605e-06,2.479178002251917e-07,1.5711854192037306e-05
cavallo,3887985.0,542714460.0,410016285.0,83201400510.0,55717563495.0,55752098145.0,13690013835840.0,8416452201285.0,7510974345525.0,8780640130575.0,7445196436.915463,-1515621999.5379386,12512899957.45524,-2383299626.6682863,65383667373.32031,48339989888.07031,262023502004.36557,0.0004925235480246865,-0.00010026324100401587,0.0008277683383297118,-7.99589703789745e-08,2.1936019559909443e-06,1.621791811793084e-06,8.790808004552364e-06
cavallo,1834470.0,215295990.0,256800555.0,27868482330.0,29798637000.0,39160163085.0,3910027842600.0,3881368523670.0,4473107067720.0,6392937298995.0,2601040883.653045,-339838811.146788,3211619337.591743,28819734978.740982,59932434347.66211,-27639463605.373047,11888347088.94732,0.0007729047044628038,-0.00010098380903782655,0.0009543393610492299,6.322858284740483e-06,1.3148777714968944e-05,-6.063914590884645e-06,2.608224327484942e-06
cavallo,2026485.0,273551250.0,265221165.0,38920944270.0,36546094590.0,37505073345.0,5797969881960.0,5287045969020.0,5237734198560.0,5682458655705.0,1994795605.4095874,744407820.9362011,2793606759.2827516,5560553024.707145,-7799816684.421875,-19854736899.208984,42650552280.085205,0.00048574866521925125,0.0001812692510540625,0.0006802655624411437,9.51172975803893e-07,-1.3342152864079813e-06,-3.3962969323934454e-06,7.2956866972893835e-06
cavallo,6816405.0,991202340.0,754105890.0,156881051550.0,102083893725.0,111698098800.0,26602006109430.0,15053942906355.0,14661227816475.0,18960381763950.0,12746118425.944782,-7573839754.126109,28270589235.545998,82333317474.74045,-99280769336.07031,94537227065.20312,347897629061.6555,0.000274326129844619,-0.00016300665648795196,0.00060844886845145,6.787145336189596e-07,-8.184208182542312e-07,7.793174372801659e-07,2.8678933911313006e-06
cavallo,4208775.0,527600100.0,507226875.0,76676104530.0,60747967620.0,71049247245.0,12095022822240.0,8760794324880.0,8258569576290.0,10964174943165.0,10537652006.40109,-2836555185.967889,9920034416.501062,-158816578137.37524,231222825243.90625,35740865822.07031,10511759665.698952,0.0005948841998624736,-0.00016013262358115777,0.0005600177091522582,-4.3702528200464325e-06,6.362699763038638e-06,9.83503243060022e-07,2.8925851357239436e-07
cavallo,3808425.0,506098245.0,395360415.0,77617001745.0,57094619595.0,50145079605.0,13054607711985.0,9190916169285.0,7585559387835.0,7437745681875.0,10362051577.390018,4555522153.4141245,9101903554.802814,-13855130565.289057,-77422725339.92578,-24012296445.71875,342307484647.93976,0.0007144221893678173,0.0003140851101008965,0.0006275400017527044,-4.8949369741765e-07,-2.735299816353682e-06,-8.483404552065545e-07,1.2093524165974523e-05
cavallo,4473720.0,548981850.0,445442160.0,83797126920.0,50600941065.0,50836304790.0,14309741359920.0,7235597278185.0,5527265279835.0,6453571373670.0,16430132197.61628,-4060428234.9999995,6484240309.999996,-5591405744.883625,-111436154518.40625,97592255208.67773,100616465591.961,0.0008209249583439026,-0.00020287766644746684,0.000323982463583031,-1.320836344461664e-07,-2.6324135591419205e-06,2.3053844328065764e-06,2.37682419535992e-06
cavallo,2238645.0,319252095.0,307769700.0,56497252515.0,39654615990.0,48101258940.0,10909868701905.0,6688329471630.0,5726673867900.0,8143521505770.0,10968863618.194557,-4236274036.1191463,5788972606.932455,-275706325360.84735,129333411372.34375,31785169466.742188,-61196418989.73411,0.0021887248954173453,-0.0008453052904481499,0.0011551304587892794,-3.6769155589018225e-05,1.724835409337883e-05,4.238980879442392e-06,-8.161367528943252e-06
cavallo,1638120.0,198752100.0,232679340.0,30765501630.0,26859206100.0,33893161800.0,5417782202580.0,4028256841260.0,3711667044690.0,5067469869300.0,6651030617.858033,-1371636238.5429633,843278236.6251575,71091690625.39008,-8849993614.302734,-10913873668.40039,13709848540.94572,0.002478549071485948,-0.000511149011452304,0.0003142530249040879,2.06992476476451e-05,-2.5767879184055467e-06,-3.177712780073487e-06,3.9917963360318416e-06
